STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,unit,Unit of measure,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2015,,G_KM,Grams per kilometre,126.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2016,,G_KM,Grams per kilometre,121.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2017,,G_KM,Grams per kilometre,150.4,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2018,,G_KM,Grams per kilometre,152.7,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2019,,G_KM,Grams per kilometre,156,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2020,,G_KM,Grams per kilometre,144.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2021,,G_KM,Grams per kilometre,138.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2022,,G_KM,Grams per kilometre,137.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,CZ,Czechia,2023,,G_KM,Grams per kilometre,136,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2014,,G_KM,Grams per kilometre,132.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2015,,G_KM,Grams per kilometre,128.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2016,,G_KM,Grams per kilometre,126.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2017,,G_KM,Grams per kilometre,154.2,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2018,,G_KM,Grams per kilometre,157,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2019,,G_KM,Grams per kilometre,159,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2020,,G_KM,Grams per kilometre,136,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2021,,G_KM,Grams per kilometre,113.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2022,,G_KM,Grams per kilometre,105.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DE,Germany,2023,,G_KM,Grams per kilometre,113,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2014,,G_KM,Grams per kilometre,110.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2015,,G_KM,Grams per kilometre,106.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2016,,G_KM,Grams per kilometre,106,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2017,,G_KM,Grams per kilometre,129.8,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2018,,G_KM,Grams per kilometre,132.8,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2019,,G_KM,Grams per kilometre,135.6,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2020,,G_KM,Grams per kilometre,116.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2021,,G_KM,Grams per kilometre,92.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2022,,G_KM,Grams per kilometre,86.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,DK,Denmark,2023,,G_KM,Grams per kilometre,72.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2014,,G_KM,Grams per kilometre,140.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2015,,G_KM,Grams per kilometre,137.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2016,,G_KM,Grams per kilometre,133.9,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2017,,G_KM,Grams per kilometre,161,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2018,,G_KM,Grams per kilometre,160.5,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2019,,G_KM,Grams per kilometre,157.7,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2020,,G_KM,Grams per kilometre,147.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2021,,G_KM,Grams per kilometre,142.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2022,,G_KM,Grams per kilometre,141.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EE,Estonia,2023,,G_KM,Grams per kilometre,134.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2014,,G_KM,Grams per kilometre,108.2,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2015,,G_KM,Grams per kilometre,106.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2016,,G_KM,Grams per kilometre,106.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2017,,G_KM,Grams per kilometre,131.9,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2018,,G_KM,Grams per kilometre,135,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2019,,G_KM,Grams per kilometre,140.1,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2020,,G_KM,Grams per kilometre,130.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2021,,G_KM,Grams per kilometre,119.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2022,,G_KM,Grams per kilometre,118,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EL,Greece,2023,,G_KM,Grams per kilometre,112.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2014,,G_KM,Grams per kilometre,118.6,,,,,
