geo,TIME_PERIOD,ELC,TOTAL,EV_share,CO2_g_km
IT,2014,3430.0,37080753.0,0.009250081841649764,118.1
IT,2015,4584.0,37351233.0,0.012272687222935855,115.2
IT,2016,5743.0,37876138.0,0.015162580725627307,113.3
IT,2017,7560.0,38520321.0,0.019626004674260112,137.3
IT,2018,12156.0,39018170.0,0.031154715866992228,140.5
IT,2019,22728.0,39545232.0,0.05747342688494026,144.7
IT,2020,53079.0,39717874.0,0.13364008355532825,132.5
IT,2021,118034.0,39822723.0,0.2963986164381577,120.3
IT,2022,158131.0,40213061.0,0.39323293494121225,119.2
IT,2023,219540.0,40915229.0,0.5365728247543232,120.1
LT,2014,70.0,1205668.0,0.005805910084699934,135.8
LT,2015,169.0,1244063.0,0.013584521041136983,130.0
LT,2016,358.0,1298737.0,0.027565242231491056,126.2
LT,2017,619.0,1356987.0,0.045615764926266796,154.4
LT,2018,965.0,1430520.0,0.06745798730531555,155.9
LT,2019,1395.0,1498688.0,0.09308141521117137,160.0
LT,2020,2475.0,1565465.0,0.1580999894600007,146.2
LT,2021,4831.0,1611143.0,0.299849237466817,135.7
LT,2022,7305.0,1650384.0,0.44262426198993693,135.9
LT,2023,11424.0,1700524.0,0.6717929297087251,129.9
LU,2014,524.0,372827.0,0.14054776075767045,129.9
LU,2015,580.0,381103.0,0.15218982794677555,127.5
LU,2016,685.0,390935.0,0.17522094465831917,126.1
LU,2017,970.0,403282.0,0.24052648022971518,153.9
LU,2018,1336.0,415145.0,0.3218152693637163,159.3
LU,2019,2195.0,426346.0,0.5148400594822046,161.2
LU,2020,4032.0,433183.0,0.9307844490665608,143.9
LU,2021,7960.0,439919.0,1.8094240076013994,123.8
LU,2022,13909.0,444818.0,3.1268968432032875,115.7
LU,2023,23267.0,453614.0,5.129250860864083,105.8
LV,2014,188.0,657799.0,0.028580158984735458,140.4
LV,2015,211.0,679048.0,0.031072913844087606,137.1
LV,2016,241.0,664177.0,0.036285508230486756,128.9
LV,2017,312.0,689536.0,0.04524781882309263,156.1
LV,2018,442.0,707841.0,0.06244340183741829,156.1
LV,2019,658.0,727164.0,0.09048852803494122,155.0
LV,2020,1205.0,739124.0,0.16303083109194128,146.8
LV,2021,2106.0,758688.0,0.27758446159686195,142.6
LV,2022,3832.0,769723.0,0.4978414312681315,134.6
LV,2023,6369.0,781690.0,0.8147731197789405,132.1
MT,2014,87.0,265950.0,0.032712915961646924,115.3
MT,2015,136.0,275380.0,0.04938630256373012,113.3
MT,2016,140.0,282921.0,0.04948377815715341,111.8
MT,2017,189.0,291798.0,0.06477083461846894,134.5
MT,2018,603.0,300140.0,0.2009062437529153,130.5
MT,2019,983.0,307130.0,0.32005990948458307,132.2
MT,2020,1293.0,308358.0,0.4193178059268772,128.1
MT,2021,1783.0,313177.0,0.5693266108302972,107.5
MT,2022,2803.0,317234.0,0.8835749005465996,91.4
MT,2023,4364.0,323852.0,1.3475291182391955,91.3
NL,2014,6825.0,7979083.0,0.08553614494297151,107.3
NL,2015,9962.0,8100864.0,0.12297453703703703,101.2
NL,2016,13709.0,8222974.0,0.16671583784650176,105.9
NL,2017,21842.0,8373244.0,0.2608546938319246,131.3
NL,2018,44581.0,8442982.0,0.528024340215341,127.9
NL,2019,106232.0,8584391.0,1.237501879865444,119.3
NL,2020,173797.0,8686419.0,2.000789968800722,104.4
NL,2021,245091.0,8827709.0,2.7763828644555453,95.1
NL,2022,330113.0,8917107.0,3.7020190516946805,86.8
NL,2023,444669.0,9067393.0,4.90404463554188,74.2
NO,2021,465410.0,3003005.0,15.49814269373511,27.6
NO,2022,607516.0,3018728.0,20.1249002891284,17.8
NO,2023,689150.0,2889087.0,23.85355650418281,14.5
PL,2014,153.0,20003863.0,0.0007648522687842844,132.9
PL,2015,219.0,18011775.0,0.0012158712842015849,129.3
PL,2016,348.0,18718408.0,0.0018591324646839626,125.8
PL,2017,896.0,19266117.0,0.0046506517114995195,154.7
PL,2018,3018.0,19911107.0,0.015157369201019311,157.3
PL,2019,5196.0,20544344.0,0.02529163257780341,158.0
PL,2020,9772.0,20985865.0,0.04656467579487431,146.0
PL,2021,18132.0,21356007.0,0.08490351215936574,137.6
PL,2022,30841.0,21458101.0,0.14372660469815107,135.7
PL,2023,51364.0,21796947.0,0.23564768038386294,132.7
PT,2014,672.0,4699645.0,0.014298952367678834,108.8
PT,2015,1398.0,4722963.0,0.029600062503136276,105.7
PT,2016,2383.0,4850229.0,0.049131700791859516,104.7
PT,2017,4667.0,5059472.0,0.09224282691948883,126.9
PT,2018,9980.0,5282970.0,0.1889088902643778,128.6
PT,2019,18139.0,5452119.0,0.3326963332972006,132.6
PT,2020,26949.0,5565963.0,0.4841749756511138,118.0
PT,2021,43309.0,5632644.0,0.7688929035813377,107.1
PT,2022,67347.0,5778584.0,1.1654585275562317,103.1
PT,2023,110649.0,5847610.0,1.8922089537434954,89.8
RO,2014,2737.0,4907564.0,0.055771050566024195,128.2
RO,2015,3863.0,5155059.0,0.07493609675466373,125.0
